Start time,End time,Transcript
5.300,6.200,"good morning everyone"
8.100,9.100," welcome to our first"
10.300,11.200," 2024"
11.700,12.500," original love"
13.500,15.100," Sunday Session"
16.300,17.100," my name is Luke"
17.600,22.100," I'm a long time student of Henry's I'm an original love mentor and facilitator I'm"
23.000,24.900," really honoured and happy to be hosting today"
27.200,28.100," if you all have"
28.900,31.800," the ability to drop a comment into the"
33.100,33.300," chat"
34.100,37.400," area and just let us know how you're feeling today where you're tuning in from"
38.300,40.100," and read a couple of these out so we can get a"
40.800,42.700," scope of the"
44.000,44.300," morning"
44.900,45.800," afternoon or evening"
46.800,47.900," collection of"
48.700,51.100," almost 100 human beings more than 100 human beings that are"
52.000,53.600," gathered here together this Sunday"
56.100,57.300," great gainesville Florida"
61.200,61.600," we have"
62.600,64.200," chili it's stormy in the UK"
65.100,66.300," cold and grey and San Antonio"
68.700,70.100," la with Grace Skies"
70.900,72.600," rainy and ready in Victoria"
73.800,74.800," British Columbia"
75.500,76.700," winning cold in Houston"
77.900,80.700," warm and dark and still 1:00 a.m. in Bal"
82.800,84.300," in Oklahoma City"
86.400,87.800," crisp and clear and Berlin"
89.000,91.500," Calgary morning from Calgary when how cold it is there"
91.900,96.500," the snow is melting and Bellingham Washington one of my favorite City's in the entire"
97.300,98.000," us"
99.600,102.600," when Jose oceanside all right"
103.500,104.700," Portland Oregon"
106.200,109.000," sense of anticipation in England and read a couple more"
109.700,111.500," hello Hector and Mexico City"
114.200,115.900," morning from Wisconsin from Bennett"
117.000,117.500," Suffolk"
118.200,118.600," France"
119.400,120.600," Arlington Massachusetts"
122.000,124.600," snowy Stockholm Tucson Arizona"
126.300,127.500," Puerto Rico"
129.100,131.200," Warsaw UK wonderful"
133.000,134.200," so wonderful to be here with you all"
135.300,135.800," I'm going to"
136.800,137.400," turn over"
137.800,138.500," the microphone"
139.000,140.000," to Henry shookman"
141.200,142.600," hey Luke thank you so much and"
142.900,145.600," hey I want to say thank you very much everybody for putting"
146.400,150.000," these great greetings into the chat I'm a little bit glued to them still"
150.400,151.300," because they're so fascinating"
152.200,153.300," all around the world and"
154.200,154.300," and"
156.000,161.700," ah whether it's so lovely to think of the weather and all these different places Brussels and Poland and"
162.400,165.000," and yeah barley and hey thanks thanks um"
165.700,167.600," thanks for being with us Victorian 1:00 a.m."
168.500,171.700," and thank you everybody for being here Gathering like this"
172.600,172.700," to"
174.700,175.500," to come home"
176.800,179.300," which is the theme of today's session"
180.000,183.400," and it's always actually in a sense the theme of practice is always about"
184.300,185.000," coming home"
185.800,186.700," and we'll be exploring"
188.000,188.600," the different"
190.000,196.000," dimensions of that the different the different ways of coming home and the different things that home can mean"
197.300,201.700," from a from a practice perspective a bubble you know from the"
202.200,203.500," point of view of studying"
205.500,207.200," are very human nature"
207.900,209.400," of very human experience"
209.900,212.000," what are human experience is body"
212.600,213.100," mind"
213.500,214.100," part"
214.500,214.900," being"
215.800,216.300," here"
217.000,219.100," now so always are"
219.500,220.600," our load stuff"
221.300,222.100," in practice but"
222.700,224.200," but I just want to give a little bit of"
225.300,226.500," kind of context right now"
229.000,233.600," I'm just I've had a brother set of stormy a few days and amazing week"
234.200,234.500," until"
235.800,237.100," Sunday until Friday"
237.600,238.400," night I was"
239.500,244.200," in Costa Rica leading a retreat with my dear old friend David White"
244.900,245.200," so very"
245.700,246.700," powerful beautiful"
247.200,250.500," retreat in an amazing place it was a set of threading together a poetry"
251.100,251.800," and Dharma"
252.300,252.500," with"
253.900,257.000," just over a hundred people in a most incredibly beautiful place and"
257.600,259.700," very sort of powerful fantastic event I think"
260.500,264.100," but certainly for us to and seem to be like for everybody"
264.900,265.100," then"
265.800,268.200," Friday all day travelling home till late"
268.900,270.300," and then yesterday"
271.500,272.000," Saturday"
272.600,273.700," I actually woke up"
274.300,275.900," feeling kind of a little often"
276.500,278.300," turned out I had a temperature a fever"
278.900,281.300," spent most of the day in bed most of the day sleeping"
282.100,284.100," and I really didn't want to"
284.900,285.400," um"
286.400,286.700," you know"
287.300,291.600," we'll have to pull out of this event today I'm so excited about it"
292.100,292.600," and actually"
293.100,297.100," I just had this hunch that whatever this thing was might just be a brief thing"
297.800,299.200," and sure enough I woke up"
299.700,300.400," back to normal"
300.900,302.100," you know normal temperature"
302.900,303.800," feeling pretty good"
304.400,304.900," but also"
305.700,307.600," just a little bit sort of frail so"
309.000,309.400," I'm just"
310.500,312.200," conscious of needing to kind of"
312.600,314.000," husband my resources"
314.700,314.800," and"
315.900,317.000," and try to just be"
318.800,319.700," really in a sort of a"
320.400,323.200," steady place so I just wanted to share that with you so you know"
324.200,325.500," a little bit where I'm coming from"
326.200,328.600," but above all and actually"
329.800,331.700," most of all I'm feeling this kind of"
333.600,335.900," rather full of this sense of a sort of tender"
337.300,338.500," great for"
339.200,339.800," excitement"
341.100,341.500," at"
341.800,343.600," the prospect of starting"
344.200,345.700," a whole new year"
346.600,347.600," of original love"
348.300,349.000," gatherings"
349.700,352.000," and this I feel very very lucky to"
352.900,355.100," be able to be part of this"
356.100,356.500," um"
356.800,358.400," this kind of gather"
359.100,360.000," to be a"
360.600,362.700," along with a great team we got Jeremy"
363.100,365.900," and Luke and Shanna and Sarah"
366.600,369.000," all helping to make this happen on"
369.500,370.700," you know something like a"
371.500,373.500," bi-weekly basis right through the year"
374.200,374.200," so"
375.000,376.800," thanks to all of you for coming on"
377.200,378.400," of course you you are"
378.800,379.900," in the end what makes it happen"
380.700,384.300," with you know a little bit of help from us but basically you guys make it happen"
384.900,385.900," so thank you very very much"
391.500,392.700," well we're going to begin"
393.400,393.800," with"
394.400,394.900," a set"
396.800,397.900," we're going to begin by"
399.200,402.000," the most basic kind of coming home"
402.800,404.300," which is just coming home"
