Start time,End time,Transcript
5.200,7.900,"hello everyone and happy June"
8.900,12.800," I'm Sarah and on behalf of the original of team I want to welcome"
13.400,14.200," everyone of you"
14.900,17.600," and every part of every one of you"
18.500,20.900," to this Sunday Session with Henry"
22.400,30.200," today we begin a three-part series called doing and undoing exploring the factors of Awakening"
30.500,31.700," which promises to be"
32.300,33.600," very juicy"
34.600,41.500," and in a moment I'll hand you over to Henry but as always we'd love to hear from you first so please drop a line in the chat"
42.300,44.800," telling us where you're zooming in from and"
45.700,46.700," how is it now"
50.600,50.900," let's"
51.400,54.300," spin the globe and see who's here so we have"
55.000,56.800," Deborah in Tucson"
57.500,59.100," giving up bearable"
59.700,61.200," nothing like Pakistan"
62.600,65.100," and beautiful and serene and Brooklyn"
66.400,69.000," freshly juiced and overcast Victoria"
70.500,71.600," Vancouver Island"
72.300,73.800," warm and human in Houston"
74.600,77.100," sunny and happy from ravensburg Germany"
80.400,82.400," let's see sunny day in Ottawa Canada"
83.400,85.700," Chicago sunny and Bavaria"
86.600,93.100," busy buzzing of bees in blooming Linden trees alarmingly early and Warsaw"
93.600,94.200," we have a"
95.900,97.800," poem or a poem there"
99.600,100.900," coming in from menlo Park"
101.900,104.100," to Detroit radiant chili"
106.300,109.700," the stores now as always good"
111.700,114.800," Western Massachusetts so green this summer"
116.000,117.400," overcast in Jamaica"
118.100,121.300," warm spacious and breezy and Enfield London"
122.700,124.500," sunny summer Stockholm"
124.800,127.800," just so wonderful to see these messages from"
128.700,130.400," all over the globe"
132.800,133.300," all right"
133.700,134.800," I'm going to"
136.500,139.500," turn you over to Henry now"
140.600,143.300," yeah Sarah thank you so much and thank you everybody"
144.100,145.000," I've actually been"
146.100,148.600," with checking in as well on this lovely chats"
150.600,151.700," great to be gathering"
152.900,154.400," as always like this for"
156.500,159.500," I was going to say for the purpose of just being"
160.700,161.300," but in a way"
162.000,162.500," it's almost"
163.200,163.600," finding"
164.500,166.300," the purpose is Finding"
167.200,168.900," this great purpose that is"
169.500,170.800," almost purpose less"
171.500,172.600," the great unfolding"
173.300,173.900," you know which is"
174.500,175.400," by some reckonings"
176.100,177.300," are called the Dharma"
